id,name,stix_id,attack_id,attack_url,matrix,created_on,updated_on,attack_type,stix_type
1462,"Extra Window Memory Injection",attack-pattern--0042a9f5-f053-4769-b3ef-9ad018dfa298,T1055.011,https://attack.mitre.org/techniques/T1055/011,mitre-attack,"2022-10-20 14:15:03.645035","2022-10-20 14:15:03.645060",technique,attack-pattern
1463,"Scheduled Task",attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,T1053.005,https://attack.mitre.org/techniques/T1053/005,mitre-attack,"2022-10-20 14:15:03.646437","2022-10-20 14:15:03.646453",technique,attack-pattern
1464,"Archive via Utility",attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,T1560.001,https://attack.mitre.org/techniques/T1560/001,mitre-attack,"2022-10-20 14:15:03.647650","2022-10-20 14:15:03.647666",technique,attack-pattern
1465,VNC,attack-pattern--01327cde-66c4-4123-bf34-5f258d59457b,T1021.005,https://attack.mitre.org/techniques/T1021/005,mitre-attack,"2022-10-20 14:15:03.648750","2022-10-20 14:15:03.648762",technique,attack-pattern
1466,"Windows Management Instrumentation",attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,T1047,https://attack.mitre.org/techniques/T1047,mitre-attack,"2022-10-20 14:15:03.649604","2022-10-20 14:15:03.649615",technique,attack-pattern
1467,"Screen Capture",attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,T1113,https://attack.mitre.org/techniques/T1113,mitre-attack,"2022-10-20 14:15:03.650663","2022-10-20 14:15:03.650678",technique,attack-pattern
1468,"Boot or Logon Initialization Scripts",attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,T1037,https://attack.mitre.org/techniques/T1037,mitre-attack,"2022-10-20 14:15:03.651845","2022-10-20 14:15:03.651867",technique,attack-pattern
1469,Adversary-in-the-Middle,attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,T1557,https://attack.mitre.org/techniques/T1557,mitre-attack,"2022-10-20 14:15:03.653185","2022-10-20 14:15:03.653202",technique,attack-pattern
1470,"System Owner/User Discovery",attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,T1033,https://attack.mitre.org/techniques/T1033,mitre-attack,"2022-10-20 14:15:03.654362","2022-10-20 14:15:03.654659",technique,attack-pattern
1471,"Acquire Infrastructure",attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,T1583,https://attack.mitre.org/techniques/T1583,mitre-attack,"2022-10-20 14:15:03.655797","2022-10-20 14:15:03.655815",technique,attack-pattern
1472,Rundll32,attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,T1218.011,https://attack.mitre.org/techniques/T1218/011,mitre-attack,"2022-10-20 14:15:03.656853","2022-10-20 14:15:03.656869",technique,attack-pattern
1473,"Container and Resource Discovery",attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,T1613,https://attack.mitre.org/techniques/T1613,mitre-attack,"2022-10-20 14:15:03.657854","2022-10-20 14:15:03.657867",technique,attack-pattern
1474,"Standard Encoding",attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,T1132.001,https://attack.mitre.org/techniques/T1132/001,mitre-attack,"2022-10-20 14:15:03.659997","2022-10-20 14:15:03.660019",technique,attack-pattern
1475,"Pluggable Authentication Modules",attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,T1556.003,https://attack.mitre.org/techniques/T1556/003,mitre-attack,"2022-10-20 14:15:03.661515","2022-10-20 14:15:03.661532",technique,attack-pattern
1476,"Revert Cloud Instance",attack-pattern--0708ae90-d0eb-4938-9a76-d0fc94f6eec1,T1578.004,https://attack.mitre.org/techniques/T1578/004,mitre-attack,"2022-10-20 14:15:03.662590","2022-10-20 14:15:03.662604",technique,attack-pattern
